timestamp,value
90691,OPEN
590690,OPEN
1090734,OPEN
1590653,OPEN
2090653,OPEN
2590658,OPEN
3090663,OPEN
3590652,OPEN
4090664,OPEN
4590662,OPEN
5090669,OPEN
5590670,OPEN
6090671,OPEN
6590672,OPEN
7090682,OPEN
7590690,OPEN
8090683,OPEN
8590684,OPEN
9090685,OPEN
9590705,OPEN
10090705,OPEN
10590698,OPEN
11090695,OPEN
11590695,OPEN
12090701,OPEN
12590715,OPEN
13090707,OPEN
13590714,OPEN
14090709,OPEN
14590716,OPEN
15090716,OPEN
15590731,OPEN
16090725,OPEN
16590760,OPEN
17090738,OPEN
17590736,OPEN
18090736,OPEN
18590750,OPEN
18646528,OPEN
18657388,OPEN
19156758,OPEN
19656763,OPEN
20156777,OPEN
20657154,OPEN
21156835,OPEN
21656779,OPEN
22156764,OPEN
22656763,OPEN
23156782,OPEN
23656774,OPEN
24156773,OPEN
24656922,OPEN
25156783,OPEN
25656806,OPEN
26156782,OPEN
26656843,OPEN
27156799,OPEN
27656793,OPEN
27868480,OPEN
27879802,CLOSED
27868798,CLOSED
27879369,CLOSED
28379819,CLOSED
28883314,CLOSED
29379792,CLOSED
29879800,CLOSED
30379798,CLOSED
30879813,CLOSED
30884873,CLOSED
30879232,CLOSED
31384098,CLOSED
31884176,CLOSED
32384135,CLOSED
32884077,CLOSED
33384129,CLOSED
33884193,CLOSED
34384171,CLOSED
34884173,CLOSED
35106111,CLOSED
35605872,CLOSED
36105845,CLOSED
36605856,CLOSED
37105919,CLOSED
37605849,CLOSED
38105859,CLOSED
38605850,CLOSED
39105866,CLOSED
39605885,CLOSED
40106014,CLOSED
40605869,CLOSED
41117582,CLOSED
41105893,CLOSED
41106850,CLOSED
41616863,CLOSED
42116864,CLOSED
42616856,CLOSED
43116868,CLOSED
43616926,CLOSED
44116869,CLOSED
44616881,CLOSED
45116874,CLOSED
45616877,CLOSED
46116877,CLOSED
46616879,CLOSED
47116883,CLOSED
47616894,CLOSED
48116892,CLOSED
48616891,CLOSED
49116914,CLOSED
49616896,CLOSED
50116918,CLOSED
50616895,CLOSED
51116919,CLOSED
51616904,CLOSED
52117016,CLOSED
52616924,CLOSED
53116916,CLOSED
53616917,CLOSED
54116919,CLOSED
54616995,CLOSED
55117052,CLOSED
55616937,CLOSED
56116946,CLOSED
56616959,CLOSED
57116939,CLOSED
57616944,CLOSED
58116942,CLOSED
58616941,CLOSED
59116951,CLOSED
59616965,CLOSED
60116951,CLOSED
60617035,CLOSED
61116959,CLOSED
61616964,CLOSED
62116959,CLOSED
62617032,CLOSED
63116970,CLOSED
63616964,CLOSED
64116981,CLOSED
64616980,CLOSED
65116971,CLOSED
65617010,CLOSED
66116974,CLOSED
66616987,CLOSED
67117002,CLOSED
67616989,CLOSED
68117068,CLOSED
68616998,CLOSED
69117004,CLOSED
69617071,CLOSED
70117010,CLOSED
70617026,CLOSED
71117028,CLOSED
71617011,CLOSED
72117064,CLOSED
72617022,CLOSED
73117035,CLOSED
73617130,CLOSED
74117032,CLOSED
74617083,CLOSED
75117015,CLOSED
75617038,CLOSED
76117036,CLOSED
76617049,CLOSED
77117041,CLOSED
77617034,CLOSED
78117035,CLOSED
78617051,CLOSED
79117129,CLOSED
79617127,CLOSED
80117064,CLOSED
80617051,CLOSED
81117063,CLOSED
81617055,CLOSED
82117061,CLOSED
82617080,CLOSED
83117066,CLOSED
83617073,CLOSED
84117078,CLOSED
84617090,CLOSED
85117072,CLOSED
85617237,CLOSED
86117082,CLOSED
86617133,CLOSED
87117079,CLOSED
87617174,CLOSED
88117083,CLOSED
88617095,CLOSED
89117126,CLOSED
89617093,CLOSED
90117099,CLOSED
90617194,CLOSED
91117102,CLOSED
91617336,CLOSED
92117103,CLOSED
92617123,CLOSED
93117129,CLOSED
93617126,CLOSED
94117115,CLOSED
94617125,CLOSED
95117129,CLOSED
95617215,CLOSED
96117211,CLOSED
96617198,CLOSED
97117183,CLOSED
97617257,CLOSED
98117146,CLOSED
98617139,CLOSED
99117225,CLOSED
99617178,CLOSED
100117204,CLOSED
100617148,CLOSED
101117150,CLOSED
101617150,CLOSED
102117151,CLOSED
102617150,CLOSED
103117275,CLOSED
103617163,CLOSED
104117162,CLOSED
104617165,CLOSED
105117223,CLOSED
105617178,CLOSED
106117181,CLOSED
106617193,CLOSED
107117189,CLOSED
107617181,CLOSED
108117239,CLOSED
108617226,CLOSED
109117192,CLOSED
109617196,CLOSED
110117204,CLOSED
110617194,CLOSED
111117206,CLOSED
111617200,CLOSED
112117209,CLOSED
112617354,CLOSED
113117232,CLOSED
113617216,CLOSED
114117245,CLOSED
114617239,CLOSED
115117307,CLOSED
115617240,CLOSED
116117248,CLOSED
116617331,CLOSED
117117301,CLOSED
117617265,CLOSED
118117310,CLOSED
118617267,CLOSED
119117273,CLOSED
119617315,CLOSED
120117297,CLOSED
120617325,CLOSED
121117303,CLOSED
121617302,CLOSED
122117300,CLOSED
122617384,CLOSED
123117329,CLOSED
123617311,CLOSED
124117336,CLOSED
124617302,CLOSED
125117342,CLOSED
125617320,CLOSED
126117317,CLOSED
126617326,CLOSED
127117318,CLOSED
127617331,CLOSED
128117434,CLOSED
128617312,CLOSED
129117316,CLOSED
129617357,CLOSED
130117337,CLOSED
130617334,CLOSED
131117311,CLOSED
131617345,CLOSED
132117456,CLOSED
132617333,CLOSED
133117344,CLOSED
133617315,CLOSED
134117353,CLOSED
134617360,CLOSED
135117383,CLOSED
135617340,CLOSED
136117416,CLOSED
136617338,CLOSED
137117345,CLOSED
