timestamp,value
95063,CONTROL
595190,CONTROL
1095093,CONTROL
1595116,CONTROL
2095103,CONTROL
2595006,CONTROL
3095130,CONTROL
3595119,CONTROL
4095096,CONTROL
4595212,CONTROL
5095113,CONTROL
5595101,CONTROL
6095103,CONTROL
6595222,CONTROL
7095121,CONTROL
7595141,CONTROL
8095141,CONTROL
8595025,CONTROL
9095128,CONTROL
9595144,CONTROL
10095132,CONTROL
10595169,CONTROL
11095141,CONTROL
11595128,CONTROL
12095134,CONTROL
12595248,CONTROL
13095148,CONTROL
13595166,CONTROL
14095155,CONTROL
14595062,CONTROL
15095159,CONTROL
15595182,CONTROL
16095193,CONTROL
16595260,CONTROL
17095169,CONTROL
17595154,CONTROL
18095154,CONTROL
18595288,CONTROL
19095179,CONTROL
19595207,CONTROL
20095205,CONTROL
20595086,CONTROL
21095288,CONTROL
21595283,CONTROL
22095293,CONTROL
22595298,CONTROL
23095299,CONTROL
23595189,CONTROL
24095295,CONTROL
24595306,CONTROL
25095208,CONTROL
25595309,CONTROL
26095325,CONTROL
26595108,CONTROL
27095242,CONTROL
27595244,CONTROL
28095287,CONTROL
28595344,CONTROL
29095298,CONTROL
