timestamp,value
374532,OK
1373704,OK
2373811,OK
3373829,OK
4373855,OK
5373843,OK
6373734,OK
7373842,OK
8373872,OK
9376148,OK
10373867,OK
11373896,OK
12373867,OK
13373948,OK
14374083,OK
15373919,OK
16373797,OK
17373933,OK
18373891,OK
19373986,OK
20374056,OK
21373812,OK
22373910,OK
23373960,OK
24373865,OK
25373978,OK
26374000,OK
27374103,OK
28374011,OK
29373961,OK
30373997,OK
31373987,OK
32373967,OK
33374019,OK
34373909,OK
35374157,OK
36373900,OK
37374128,OK
38374228,OK
39374017,OK
40026158,INFO
41025917,INFO
42025910,INFO
43025920,INFO
44025917,INFO
45025936,INFO
45865158,OK
46864926,OK
47864927,OK
48864931,OK
49864936,OK
50864936,OK
51864943,OK
52864941,OK
53864949,OK
