timestamp,value
173567,OPEN
673572,OPEN
1173567,OPEN
1673570,OPEN
2173577,OPEN
2673584,OPEN
3173583,OPEN
3673585,OPEN
4173592,OPEN
4673593,OPEN
5173602,OPEN
5673593,OPEN
6173601,OPEN
6673603,OPEN
7173604,OPEN
7673616,OPEN
8173616,OPEN
8673619,OPEN
9173622,OPEN
9673624,OPEN
10173623,OPEN
10673635,OPEN
11173635,OPEN
11673633,OPEN
12173644,OPEN
12673644,OPEN
13173652,OPEN
13673647,OPEN
14173650,OPEN
14673652,OPEN
15173653,OPEN
15673662,OPEN
16173668,OPEN
16673663,OPEN
17173673,OPEN
17673676,OPEN
18173676,OPEN
18673676,OPEN
19173682,OPEN
19673685,OPEN
20173687,OPEN
20673706,OPEN
21173687,OPEN
21673725,OPEN
22173694,OPEN
22673702,OPEN
23173706,OPEN
23673708,OPEN
24173704,OPEN
24673706,OPEN
25173710,OPEN
25673716,OPEN
26173721,OPEN
26673728,OPEN
27173720,OPEN
27673727,OPEN
28173738,OPEN
28673728,OPEN
29173739,OPEN
29673738,OPEN
30173740,OPEN
30673747,OPEN
31173748,OPEN
31673750,OPEN
32173759,OPEN
32673766,OPEN
33173761,OPEN
33673756,OPEN
34173758,OPEN
34673762,OPEN
35173766,OPEN
35673766,OPEN
36173770,OPEN
36673773,OPEN
37173774,OPEN
37673778,OPEN
38173777,OPEN
38673793,OPEN
39173786,OPEN
39673788,OPEN
40173793,OPEN
40673795,OPEN
41173794,OPEN
41673797,OPEN
42173802,OPEN
42673807,OPEN
43173846,OPEN
43673808,OPEN
44173819,OPEN
44673814,OPEN
45173825,OPEN
45673820,OPEN
46173821,OPEN
46673822,OPEN
47173825,OPEN
47673832,OPEN
48173857,OPEN
48673833,OPEN
49173835,OPEN
49673832,OPEN
50173835,OPEN
50673851,OPEN
51173849,OPEN
51673850,OPEN
52173859,OPEN
52673846,OPEN
53173860,OPEN
53673867,OPEN
54173872,OPEN
54673862,OPEN
55173883,OPEN
55673874,OPEN
56173875,OPEN
56673875,OPEN
57173888,OPEN
57673889,OPEN
58173875,OPEN
58673882,OPEN
59673912,OPEN
60173893,OPEN
60673899,OPEN
61173885,OPEN
61674037,OPEN
62173917,OPEN
62673883,OPEN
63173932,OPEN
63673905,OPEN
64173920,OPEN
64376767,OPEN
64398251,OPEN
64897966,OPEN
65397914,OPEN
65897923,OPEN
66397923,OPEN
66897924,OPEN
67397922,OPEN
67897927,OPEN
68247460,OPEN
68247909,OPEN
68255935,CLOSED
68255731,OPEN
68755935,CLOSED
69255935,CLOSED
69755945,CLOSED
70157922,OPEN
70157217,CLOSED
70657912,OPEN
71157925,OPEN
71657939,OPEN
72157324,OPEN
72164576,OPEN
72663991,OPEN
73163968,OPEN
73663978,OPEN
74164018,OPEN
74664000,OPEN
75164002,OPEN
75664015,OPEN
76164010,OPEN
76664024,OPEN
77164006,OPEN
77664013,OPEN
78053105,OPEN
78053119,OPEN
78061572,OPEN
78062468,CLOSED
78562264,CLOSED
79062332,CLOSED
79562389,CLOSED
80062328,CLOSED
80562278,CLOSED
81061725,CLOSED
81062525,OPEN
81074608,OPEN
81574057,OPEN
82074107,OPEN
82574074,OPEN
83074062,OPEN
83574081,OPEN
84074068,OPEN
84574071,OPEN
85074090,OPEN
85574105,OPEN
86074103,OPEN
86574092,OPEN
87074102,OPEN
87574103,OPEN
88074136,OPEN
88574178,OPEN
89074123,OPEN
89574114,OPEN
90074138,OPEN
90574139,OPEN
91074132,OPEN
91574162,OPEN
92074143,OPEN
92574150,OPEN
93074160,OPEN
93574137,OPEN
94074149,OPEN
94574181,OPEN
95074147,OPEN
95574168,OPEN
96074168,OPEN
96574177,OPEN
97074170,OPEN
97574225,OPEN
98074177,OPEN
98574176,OPEN
99074211,OPEN
99574198,OPEN
100074202,OPEN
100574219,OPEN
101074194,OPEN
101574349,OPEN
102074220,OPEN
102574198,OPEN
